SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,ACTIVITY_TYPE,FALL_ENROLLMENT_GRADE_6_12,OFFERINGS,STUDENTS_PARTICIPATING,PARTICIPATION_RATE
2016-17,,,,0000,0000,[Statewide],,[Statewide],[Statewide],Academic,446947,10898,169995,38.03
2016-17,,,,0000,0000,[Statewide],,[Statewide],[Statewide],Athletic,446947,12888,198423,44.39
2016-17,,,,0000,0000,[Statewide],,[Statewide],[Statewide],Music,446947,4168,87714,19.62
2016-17,School District,10,Clark,0007,0000,[Districtwide],No,Abbotsford,[Districtwide],Academic,345,10,260,75.36
2016-17,School District,10,Clark,0007,0000,[Districtwide],No,Abbotsford,[Districtwide],Athletic,345,12,364,105.50
2016-17,School District,10,Clark,0007,0000,[Districtwide],No,Abbotsford,[Districtwide],Music,345,2,66,19.13
2016-17,Public school,10,Clark,0007,0020,Elementary School,No,Abbotsford,Abbotsford Elementary,Academic,0,0,0,n/a
2016-17,Public school,10,Clark,0007,0020,Elementary School,No,Abbotsford,Abbotsford Elementary,Athletic,0,0,0,n/a
2016-17,Public school,10,Clark,0007,0020,Elementary School,No,Abbotsford,Abbotsford Elementary,Music,0,0,0,n/a
2016-17,Public school,10,Clark,0007,0040,High School,No,Abbotsford,Abbotsford Middle/Senior High,Academic,345,10,260,75.36
2016-17,Public school,10,Clark,0007,0040,High School,No,Abbotsford,Abbotsford Middle/Senior High,Athletic,345,12,364,105.50
2016-17,Public school,10,Clark,0007,0040,High School,No,Abbotsford,Abbotsford Middle/Senior High,Music,345,2,66,19.13
2016-17,Public Schools-Multidistrict Charters,10,Clark,0007,9100,Combined Elementary/Secondary School,Yes,Abbotsford,Rural Virtual Academy,Academic,0,0,0,n/a
2016-17,Public Schools-Multidistrict Charters,10,Clark,0007,9100,Combined Elementary/Secondary School,Yes,Abbotsford,Rural Virtual Academy,Athletic,0,0,0,n/a
2016-17,Public Schools-Multidistrict Charters,10,Clark,0007,9100,Combined Elementary/Secondary School,Yes,Abbotsford,Rural Virtual Academy,Music,0,0,0,n/a
2016-17,School District,05,Adams,0014,0000,[Districtwide],No,Adams-Friendship Area,[Districtwide],Academic,821,9,168,20.46
2016-17,School District,05,Adams,0014,0000,[Districtwide],No,Adams-Friendship Area,[Districtwide],Athletic,821,24,318,38.73
2016-17,School District,05,Adams,0014,0000,[Districtwide],No,Adams-Friendship Area,[Districtwide],Music,821,2,32,3.89
